Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
2D01,453005558,85.5726643,27.832904,359436.604,3079510.077,823.65,102.5548264,128.5014699
2D03,453013225,85.5272561,27.8398116,354973.461,3080328.256,1698.51,102.3392708,127.2714699
2D04,453014085,85.5158578,27.8747526,353897.758,3084213.036,1806.87,97.3386458,124.4041782
2D05,453012585,85.540277,27.9006393,356336.12,3087052.236,1110.97,97.2468403,124.4720949
2D06,453011736,85.5459561,27.9565622,356968.784,3093241.508,1397.79,99.247581,126.1108912
2D07,453012816,85.5432866,27.9317589,356673.403,3090496.571,1802.28,99.3425579,126.5180903
2D08,453012674,85.5083482,27.9501591,353260.249,3092576.674,2510.64,99.4020255,126.4873032
2D09,453013433,85.5544999,27.9688629,357825.444,3094594.389,2354.5,99.1710069,126.5195949
2D10,453013734,85.5473276,27.7973138,356894.498,3075596.247,949.08,101.4646875,126.0618866
2D11,453014051,85.5610127,27.7760252,358215.185,3073221.776,926.84,101.1533681,126.0300116
2D12,453013726,85.5146063,27.8064069,353682.84,3076642.256,1084.26,101.4108912,126.0892014
2D13,453013832,85.4566594,27.8164667,347988.084,3077827.228,2140.77,101.2581597,126.2534144
2D14,453005624,85.4791609,27.9048463,350326.167,3087591.592,2172.1,97.4062616,126.4181829
2D15,453014303,85.4877085,27.8245429,351057.708,3078683.964,1294.71,101.3425579,126.1230903
2D16,453005805,85.5920743,27.8563479,361378.131,3082085.378,964.84,100.1319792,127.6742014
2D17,453013099,85.6079476,27.8246293,362901.284,3078553.393,1579.79,102.3753819,128.4292477
2D18,453013135,85.6211176,27.8963788,364287.912,3086487.949,1076.24,100.1728819,127.4903588
2D19,453005621,85.6582466,27.9428641,367999.09,3091597.495,2090.05,100.2616782,128.1564005
2D20,453005698,85.6725302,27.8765582,369324.756,3084236.095,2271.42,100.4830208,128.3132755
2D21,453005649,85.617848,27.7878418,363830.573,3074466.674,1601.5,102.4086921,128.406169
2D22,453012693,85.6618586,27.986411,368407.319,3096418.233,2001.64,100.3683218,127.4060764
A000,453013948,85.5719711,27.8406027,359378.265,3080363.832,1139.59,98.3335995,125.3227431
A001,453011822,85.5720898,27.84095,359390.401,3080402.173,1156.31,98.3177894,124.2835995
A002,453013959,85.5719573,27.8416417,359378.246,3080478.954,1189.79,98.2920023,125.7647569
A003,453012976,85.5720842,27.8424454,359391.777,3080567.858,1217.28,98.2733218,124.7371875
A004,453012086,85.572705,27.8434845,359454.253,3080682.274,1243.93,98.2497569,125.6336227
