# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
 2D13  12.283 1 S
 2D15  12.313 1 S
 2D14  11.343 1 S
 2D14   6.553 1 P
 2D04   7.073 1 P
 2D04  12.333 1 S
 2D08   6.423 1 P
 2D08  11.223 1 S
 2D05  12.103 1 S
 A016   5.863 1 P
 2D07  11.813 1 S
 2D07   6.813 1 P
 A043  13.283 1 S
 A049  13.303 1 S
 2D06  11.393 1 S
 A077  13.563 1 S
 2D09   7.383 1 P
 2D09  13.063 1 S
  C80   6.273 1 P
  C80  10.973 1 S
  C81   6.113 1 P
  C81  10.953 1 S
  C73   6.393 1 P
  C73  11.153 1 S
  C72  11.133 1 S
  C77   7.033 1 P
  C77  11.323 1 S
  C74   7.023 1 P
  C74  11.123 1 S
  C75   6.393 1 P
  C71  11.203 1 S
  C76  11.123 1 S
  C68   6.433 1 P
  C68  11.283 1 S
  C69   7.163 1 P
  C69  11.243 1 S
  C70   7.113 1 P
  C70  11.323 1 S
  C65   7.063 1 P
  C65  11.383 1 S
  C64   6.473 1 P
  C64  11.363 1 S
  C63   6.493 1 P
  C63  11.363 1 S
 A086  13.323 1 S
  C62  11.413 1 S
  C61  11.483 1 S
  C61   6.033 1 P
  C60  11.453 1 S
  C60   6.513 1 P
  C59  11.433 1 S
  C59   6.503 1 P
  C58  11.423 1 S
  C58   6.513 1 P
  C57  11.513 1 S
  C57   6.513 1 P
  C56  11.523 1 S
  C56   6.553 1 P
  C55  11.523 1 S
  C55   6.553 1 P
  C54  11.593 1 S
  C54   6.593 1 P
  C53   6.583 1 P
  C52   6.573 1 P
  C52  11.593 1 S
  C90  11.793 1 S
  C51  11.603 1 S
  C51   6.593 1 P
  C50  11.643 1 S
  C50   6.623 1 P
  C49  11.683 1 S
  C49   6.633 1 P
  C48  11.743 1 S
  C48   6.633 1 P
  C47  11.683 1 S
  C47   6.633 1 P
  C46  11.683 1 S
  C45  12.043 1 S
 A094  13.693 1 S
  C44  11.923 1 S
  C23  11.883 1 S
  C22  11.953 1 S
  C22   6.793 1 P
  C42   6.673 1 P
  C42  11.753 1 S
  C41   6.673 1 P
  C41  11.693 1 S
  C43   6.653 1 P
  C43  11.723 1 S
  C21  11.993 1 S
  C20   6.793 1 P
  C20  11.963 1 S
  C19  12.003 1 S
  C18  11.973 1 S
  C18   6.833 1 P
 A097  13.793 1 S
  C17  11.993 1 S
  C17   6.823 1 P
  C16  12.033 1 S
  C16   6.833 1 P
  C15  11.953 1 S
  C15   6.793 1 P
 A100  13.703 1 S
  C14  12.123 1 S
 A101   7.723 1 P
  C13  12.043 1 S
  C12  12.173 1 S
  C11   6.873 1 P
  C11  12.133 1 S
  C10  12.073 1 S
  C09  12.003 1 S
  C09   7.553 1 P
  C08  12.163 1 S
  C08   7.613 1 P
  C07  12.103 1 S
  C06   6.913 1 P
  C06  12.073 1 S
  AX4   6.993 1 P
  AX4  12.263 1 S
  C05  12.313 1 S
  C04   6.953 1 P
  AX3   7.013 1 P
  AX3  12.313 1 S
  C03   7.663 1 P
  C03  12.153 1 S
  C99  12.163 1 S
 A172  12.323 1 S
 A172   7.033 1 P
 A133  13.223 1 S
 A134  13.233 1 S
 A134   7.803 1 P
 A136  12.953 1 S
 A171  12.443 1 S
 A171   7.703 1 P
 A132  13.003 1 S
 A173  12.243 1 S
 A173   6.993 1 P
  AX2  12.543 1 S
  AX2   7.053 1 P
  C02  12.153 1 S
  C02   7.623 1 P
 A174  12.203 1 S
 A174   6.993 1 P
 A137  13.203 1 S
 A175  12.163 1 S
  AX1  12.323 1 S
  AX1   7.073 1 P
 A170   7.053 1 P
 A170  12.533 1 S
 A176  12.313 1 S
 A176   7.703 1 P
 A139  12.953 1 S
 A140   7.423 1 P
 A140  12.843 1 S
 A150   7.263 1 P
 A150  12.623 1 S
 A141  12.883 1 S
 A142   7.393 1 P
 A142  12.793 1 S
 A149  12.863 1 S
 A169   7.073 1 P
 A169  12.443 1 S
 A144  12.753 1 S
 A151  12.643 1 S
 A152  12.683 1 S
 A168   7.093 1 P
 A168  12.373 1 S
 A148  12.723 1 S
 A148   7.333 1 P
 A145  12.903 1 S
 A145   7.353 1 P
 A167   7.733 1 P
 A167  12.603 1 S
 A146  13.083 1 S
 A147  13.043 1 S
 A147   7.353 1 P
 A153   7.233 1 P
 A153  12.963 1 S
 A154   7.233 1 P
 A154  12.803 1 S
 A166   7.153 1 P
 A166  12.443 1 S
 A155   7.233 1 P
 A156  12.923 1 S
 A165   7.193 1 P
 A157   7.603 1 P
 A159  12.793 1 S
 A164  12.593 1 S
 A164   7.783 1 P
 A158   7.233 1 P
 A158  12.603 1 S
 A163  12.723 1 S
 A163   7.193 1 P
 A161  12.563 1 S
 A161   7.193 1 P
 A162  12.723 1 S
 A162   7.193 1 P
 A160  12.663 1 S
# 2023 04 12 01 07 45.591 85.5425  28.0290  16.286  6.60 0 0 0      2
 2D15   2.709 1 P
 2D15   4.719 1 S
 2D04   4.939 1 S
 2D12   2.989 1 P
 2D12   5.249 1 S
  C71   2.739 1 P
  C71   4.819 1 S
  C70   2.789 1 P
  C70   4.929 1 S
  C68   2.759 1 P
  C68   4.869 1 S
  C67   4.869 1 S
  C64   4.939 1 S
  C64   2.799 1 P
  C63   4.959 1 S
  C63   2.819 1 P
 2D05   4.279 1 S
 2D05   2.519 1 P
  C61   4.999 1 S
  C61   3.269 1 P
 2D07   4.289 1 S
  C60   5.029 1 S
  C60   2.839 1 P
  C59   5.029 1 S
  C59   2.829 1 P
