# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
  C58   1.979 1 P
  C58   3.579 1 S
  C57   1.999 1 P
  C57   3.609 1 S
  C55   1.989 1 P
  C55   3.589 1 S
  C53   1.989 1 P
  C53   3.759 1 S
  C43   2.019 1 P
  C43   3.699 1 S
  C42   2.019 1 P
  C42   3.709 1 S
  C22   2.099 1 P
  C22   3.829 1 S
  C18   2.109 1 P
  C18   3.869 1 S
  C17   2.099 1 P
  C16   3.919 1 S
  C16   2.109 1 P
  C15   3.829 1 S
  C15   2.089 1 P
  C12   3.779 1 S
  C12   2.109 1 P
  C11   3.919 1 S
  C11   2.179 1 P
  C09   3.849 1 S
  C09   2.099 1 P
  C07   3.889 1 S
  C07   2.149 1 P
 A174   2.219 1 P
 A171   2.219 1 P
 A171   4.189 1 S
  AX3   3.909 1 S
  AX3   2.169 1 P
 A170   2.229 1 P
 A170   4.029 1 S
  AX1   3.959 1 S
  AX1   2.229 1 P
 A169   2.219 1 P
 A169   3.999 1 S
 A062   4.239 1 S
 A168   2.229 1 P
 A168   3.989 1 S
 A167   2.249 1 P
 A167   4.069 1 S
 A064   4.309 1 S
 A166   2.259 1 P
 A166   3.999 1 S
 A069   4.249 1 S
 A165   2.259 1 P
 A165   3.939 1 S
 A164   2.259 1 P
 A164   4.069 1 S
 A163   2.269 1 P
 A163   3.929 1 S
 A162   2.259 1 P
 A162   3.999 1 S
 A080   2.339 1 P
 A080   4.149 1 S
 A161   2.259 1 P
 A161   3.909 1 S
 A159   2.269 1 P
 A159   3.909 1 S
 A158   2.239 1 P
 A158   3.889 1 S
 A082   4.119 1 S
 A157   2.259 1 P
 A157   3.899 1 S
 A156   2.239 1 P
 A156   3.929 1 S
 A154   2.229 1 P
 A154   3.869 1 S
 A155   2.269 1 P
 A155   3.879 1 S
 A086   2.429 1 P
 A086   4.059 1 S
 A146   2.289 1 P
 A146   3.999 1 S
 A145   2.289 1 P
 A145   3.989 1 S
 A139   2.259 1 P
 A139   4.159 1 S
 A089   2.509 1 P
 A133   2.309 1 P
 A132   3.939 1 S
 A132   2.269 1 P
 A093   4.109 1 S
 A093   2.429 1 P
 A094   4.089 1 S
 A094   2.419 1 P
 A096   4.179 1 S
 A096   2.469 1 P
 A097   4.159 1 S
 A097   2.469 1 P
 A098   4.129 1 S
 A098   2.449 1 P
 A099   4.079 1 S
 A099   2.429 1 P
  AX5   3.819 1 S
 A100   2.429 1 P
 A100   4.069 1 S
 A102   2.389 1 P
 A102   4.009 1 S
 A101   2.369 1 P
 A101   3.959 1 S
 A109   2.339 1 P
 A109   3.929 1 S
 A107   2.389 1 P
 A106   2.389 1 P
# 2023 04 13 01 24 38.540 85.4708  27.6531  39.169  7.23 0 0 0      2
 2D20   7.780 1 P
 2D20  13.530 1 S
 2D21   7.220 1 P
 2D21  12.460 1 S
 2D17  12.410 1 S
 A097   7.210 1 P
 A096  12.500 1 S
 A096   7.200 1 P
 A095  11.730 1 S
 A095   7.050 1 P
 A098   7.360 1 P
 A099   7.210 1 P
 A099  11.710 1 S
 A100   7.240 1 P
 A100  11.610 1 S
 A101   7.330 1 P
 A101  11.660 1 S
 A094   6.860 1 P
 A094  12.020 1 S
 A102  12.180 1 S
 A106   7.330 1 P
 A093   7.060 1 P
 A107   6.930 1 P
 A108   7.330 1 P
 A092   6.410 1 P
 A089  12.110 1 S
 A085  12.020 1 S
 A085   6.960 1 P
 A084  11.650 1 S
 A084   6.880 1 P
 A083   7.100 1 P
 A082   6.940 1 P
 A082  12.080 1 S
 A073   6.620 1 P
 A081  12.130 1 S
 A074  12.020 1 S
 A074   6.690 1 P
 A080  11.690 1 S
 A080   6.890 1 P
 A079  11.970 1 S
 A079   6.810 1 P
 A078  11.980 1 S
 A078   6.700 1 P
 A077   6.680 1 P
 A070  11.490 1 S
 A070   6.380 1 P
 A076   6.690 1 P
 A076  12.020 1 S
 A068   6.600 1 P
 A065   6.610 1 P
 A065  11.980 1 S
 A066   6.560 1 P
 A064   6.580 1 P
 A067   6.560 1 P
 A035  11.980 1 S
 A025  11.900 1 S
 A034  11.940 1 S
 A036  11.980 1 S
 A026  11.850 1 S
 A038  11.740 1 S
 A038   6.320 1 P
 A028  11.770 1 S
 A039  11.690 1 S
 A039   6.330 1 P
 A043   6.370 1 P
 A041  12.180 1 S
 A044   6.210 1 P
 A053   6.320 1 P
 A054  11.530 1 S
 A054   6.410 1 P
 A045  12.260 1 S
 A052   6.390 1 P
 A052  11.780 1 S
 A051   6.350 1 P
 A133   6.970 1 P
 A133  12.370 1 S
  B06  11.860 1 S
 A134  11.990 1 S
 A134   6.970 1 P
 A135  11.820 1 S
 A135   7.010 1 P
 A050   6.400 1 P
 A050  11.670 1 S
 A136   6.970 1 P
 A049  11.600 1 S
 A049   6.390 1 P
  B10  11.780 1 S
 A139   6.980 1 P
 A139  12.440 1 S
 A140  12.460 1 S
  B11  11.700 1 S
 A142  12.060 1 S
 A144  12.420 1 S
 A145  12.500 1 S
  B13  11.610 1 S
 A146   7.500 1 P
 A148  12.540 1 S
  BX1   6.010 1 P
  BX1  10.300 1 S
  B18   6.000 1 P
  B20  11.100 1 S
 A149  12.060 1 S
  BX3  11.570 1 S
 A150  12.340 1 S
 A150   7.100 1 P
