# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 2D20   3.931 1 S
 2D22   2.371 1 P
 2D22   4.731 1 S
 2D19   4.341 1 S
 2D18   2.451 1 P
  AX6   2.911 1 P
  AX6   5.551 1 S
  AX5   2.871 1 P
  AX5   5.491 1 S
 A110   2.891 1 P
 A110   5.221 1 S
 A111   2.891 1 P
 A111   5.581 1 S
 A112   2.931 1 P
 A112   5.591 1 S
 A113   2.941 1 P
 A113   5.581 1 S
 A132   3.111 1 P
 A132   5.951 1 S
 A145   3.261 1 P
 A145   6.261 1 S
 A146   3.251 1 P
 A146   6.291 1 S
 A144   3.181 1 P
 A144   6.261 1 S
 A143   3.251 1 P
 A143   6.611 1 S
 A141   3.181 1 P
 A141   6.261 1 S
 A140   3.201 1 P
 A140   6.141 1 S
 A139   3.221 1 P
 A139   6.021 1 S
 A147   3.301 1 P
 A133   6.011 1 S
 A133   3.151 1 P
 A142   6.181 1 S
 A142   3.211 1 P
 A137   5.991 1 S
 A137   3.651 1 P
 A134   5.991 1 S
 A134   3.191 1 P
 A135   5.981 1 S
 A135   3.201 1 P
 A148   3.291 1 P
 A148   6.381 1 S
 A136   3.021 1 P
 A158   3.361 1 P
 A158   6.471 1 S
 A157   3.351 1 P
 A157   6.431 1 S
 A160   3.371 1 P
 A160   6.541 1 S
 A155   3.311 1 P
 A155   6.381 1 S
 A159   3.381 1 P
 A159   6.471 1 S
 A154   3.321 1 P
 A154   6.241 1 S
 A161   6.501 1 S
 A153   6.461 1 S
 A153   3.331 1 P
 A162   4.021 1 P
 A151   3.291 1 P
 A152   3.331 1 P
 A152   6.291 1 S
 A163   3.981 1 P
 A150   6.271 1 S
 A165   6.631 1 S
 A166   3.841 1 P
 A166   6.731 1 S
 A167   6.751 1 S
 A168   3.531 1 P
 A168   6.781 1 S
 A169   3.541 1 P
 A169   6.781 1 S
  AX1   6.901 1 S
 A170   6.751 1 S
 A170   3.531 1 P
 A171   6.791 1 S
 A171   3.611 1 P
 A090   5.491 1 S
 A174   6.831 1 S
 A174   3.641 1 P
 A173   6.871 1 S
  AX3   3.551 1 P
  AX3   6.651 1 S
 A089   5.511 1 S
 A172   3.611 1 P
 A172   6.911 1 S
  AX4   6.881 1 S
  C03   6.811 1 S
 A088   5.631 1 S
  C06   3.651 1 P
 A087   5.541 1 S
 A087   2.931 1 P
  C07   3.651 1 P
  C09   4.171 1 P
  C09   6.731 1 S
 A086   2.961 1 P
 A086   5.571 1 S
  C12   3.691 1 P
 A084   5.571 1 S
  C18   4.661 1 P
  C18   7.041 1 S
  C42   4.211 1 P
 A079   5.731 1 S
  C49   4.211 1 P
  C51   4.161 1 P
 A077   5.841 1 S
 A069   5.831 1 S
 A067   5.811 1 S
 A062   6.261 1 S
# 2023 04 18 00 42 35.689 85.5582  27.5722  12.012  6.09 0 0 0      2
 A100   2.381 1 P
 A100   4.261 1 S
 A099   2.391 1 P
 A099   4.301 1 S
 A098   2.371 1 P
 A098   4.311 1 S
 A107   4.211 1 S
 A095   2.371 1 P
 A108   2.381 1 P
  AX5   2.381 1 P
 A084   2.221 1 P
 A132   2.531 1 P
 A082   2.271 1 P
 A082   4.111 1 S
 A135   2.611 1 P
 A081   4.121 1 S
 A081   2.251 1 P
 A136   2.611 1 P
 A139   5.631 1 S
 A139   2.611 1 P
 A080   2.211 1 P
 A080   4.101 1 S
 A141   4.851 1 S
 A141   2.661 1 P
 A079   2.221 1 P
 A079   4.111 1 S
 A142   2.661 1 P
 A143   2.671 1 P
 A078   2.221 1 P
