# 2023 04 19 00 14 48.851 85.5553  28.2661   8.894  6.44 0 0 0      1
 2D13   2.579 1 P
 2D08   2.399 1 S
 2D15   2.209 1 P
 2D15   3.939 1 S
 2D04   1.639 1 P
 2D04   2.949 1 S
 2D12   2.419 1 P
  C80   3.069 1 S
  C76   3.069 1 S
  C76   1.809 1 P
 2D03   2.059 1 P
 2D03   3.629 1 S
  C73   3.049 1 S
  C73   1.829 1 P
  C71   3.049 1 S
  C71   1.529 1 P
  C68   3.099 1 S
  C67   3.099 1 S
  C65   3.139 1 S
  C64   3.179 1 S
  C63   3.159 1 S
  C63   2.049 1 P
 2D07   1.299 1 P
 2D07   2.269 1 S
  C59   3.209 1 S
  C58   1.899 1 P
  C58   3.229 1 S
  C57   3.249 1 S
 2D06   1.279 1 P
 2D06   2.179 1 S
  C56   3.259 1 S
  C56   2.099 1 P
  B43   2.969 1 S
  C55   3.219 1 S
  B41   3.019 1 S
  B41   1.829 1 P
  B42   2.989 1 S
  B42   1.699 1 P
  C53   3.289 1 S
  B38   3.009 1 S
  B37   3.049 1 S
  C52   3.259 1 S
  B35   3.049 1 S
  B35   1.699 1 P
  B34   3.059 1 S
  B34   2.389 1 P
  C50   3.339 1 S
  B33   1.819 1 P
  B33   3.059 1 S
  C49   3.299 1 S
  C49   2.209 1 P
  B31   3.059 1 S
  C47   3.369 1 S
  C47   2.139 1 P
  BX3   3.219 1 S
  BX3   1.819 1 P
 2D09   2.829 1 S
 2D09   1.599 1 P
  BX1   3.199 1 S
  BX1   1.819 1 P
  C42   3.369 1 S
  C41   2.009 1 P
  C41   3.339 1 S
  C24   3.369 1 S
  C22   3.409 1 S
  C21   3.419 1 S
  B10   3.339 1 S
  B10   1.999 1 P
  C20   3.459 1 S
  B09   3.369 1 S
  C19   3.499 1 S
  B08   3.409 1 S
  C18   3.509 1 S
  B06   2.189 1 P
  B06   3.429 1 S
  C17   3.479 1 S
  C16   3.449 1 S
 A015   2.049 1 P
 A015   3.589 1 S
  C15   3.399 1 S
 A014   3.579 1 S
 A014   2.059 1 P
 A010   3.659 1 S
 A010   2.089 1 P
 A047   3.339 1 S
 A009   2.139 1 P
 A009   3.789 1 S
 A050   3.299 1 S
 A050   2.259 1 P
 A041   2.099 1 P
 A041   3.379 1 S
 A042   2.049 1 P
 A042   3.399 1 S
 A044   2.099 1 P
 A044   3.429 1 S
 A007   3.719 1 S
 A045   2.299 1 P
 A045   3.399 1 S
 A040   1.969 1 P
 A040   3.399 1 S
 A001   2.219 1 P
 A039   1.979 1 P
 A039   3.409 1 S
 A036   3.549 1 S
 A043   1.979 1 P
 A043   3.399 1 S
 A038   3.399 1 S
 A037   3.429 1 S
 A037   2.169 1 P
 A006   3.869 1 S
 A006   2.139 1 P
 A051   3.339 1 S
 A005   3.799 1 S
 A004   3.779 1 S
 A004   2.159 1 P
  C09   3.449 1 S
 A052   3.339 1 S
  C07   2.059 1 P
  C07   3.519 1 S
  C06   2.059 1 P
  C06   3.559 1 S
 A057   3.319 1 S
  C03   3.649 1 S
 A059   3.259 1 S
 A059   1.899 1 P
  C02   3.649 1 S
 A060   1.889 1 P
 A060   3.229 1 S
 A061   1.859 1 P
 A061   3.209 1 S
 A062   1.899 1 P
 A062   3.259 1 S
 A180   3.769 1 S
 A181   3.819 1 S
  AX4   2.049 1 P
  AX4   3.559 1 S
 A175   3.609 1 S
 A176   2.149 1 P
 A176   3.679 1 S
 A063   3.249 1 S
 A172   3.679 1 S
 A172   2.119 1 P
 A174   3.669 1 S
 A174   2.129 1 P
 A173   3.689 1 S
 A173   2.119 1 P
 A064   3.299 1 S
  AX3   3.529 1 S
 A171   2.119 1 P
 A171   3.699 1 S
 A065   3.309 1 S
 A067   1.879 1 P
 A067   3.189 1 S
 A068   1.879 1 P
 A068   3.369 1 S
  AX2   3.629 1 S
  AX2   2.129 1 P
 A069   1.879 1 P
 A069   3.289 1 S
 A170   2.099 1 P
 A170   3.689 1 S
  AX1   3.639 1 S
  AX1   2.089 1 P
 A070   1.859 1 P
 A070   3.289 1 S
 A076   1.899 1 P
 A076   3.419 1 S
 A169   2.099 1 P
 A169   3.659 1 S
 A077   3.429 1 S
 A168   2.099 1 P
 A168   3.669 1 S
 A078   1.919 1 P
 A078   3.339 1 S
 A079   1.899 1 P
 A079   3.359 1 S
 2D16   3.659 1 S
 2D16   2.169 1 P
 A167   2.099 1 P
 A167   3.689 1 S
 A080   1.899 1 P
 A080   3.399 1 S
 A081   1.929 1 P
 A081   3.389 1 S
 A166   3.709 1 S
 A082   3.419 1 S
 A082   1.929 1 P
 A083   3.439 1 S
 A083   1.919 1 P
 A084   3.269 1 S
 A084   1.899 1 P
 A165   3.709 1 S
 A085   1.899 1 P
 A085   3.299 1 S
 A164   2.139 1 P
 A164   3.719 1 S
 A086   1.929 1 P
 A163   2.139 1 P
 A163   3.699 1 S
 A087   1.939 1 P
 A087   3.339 1 S
 A162   2.139 1 P
 A162   3.699 1 S
 A088   1.929 1 P
 A088   3.429 1 S
 A161   2.129 1 P
 A161   3.689 1 S
 A150   2.049 1 P
 A150   3.549 1 S
 A159   2.159 1 P
 A159   3.689 1 S
 A160   2.159 1 P
 A160   3.719 1 S
 A152   2.089 1 P
 A152   3.609 1 S
 A151   2.079 1 P
 A151   3.589 1 S
 A154   2.079 1 P
 A154   3.619 1 S
 A153   2.099 1 P
 A153   3.699 1 S
 A158   2.119 1 P
 A158   3.649 1 S
 A155   2.089 1 P
 A155   3.619 1 S
 A157   2.119 1 P
 A157   3.649 1 S
 A149   2.099 1 P
 A149   3.639 1 S
 A156   2.099 1 P
 A156   3.649 1 S
 A089   1.979 1 P
 A089   3.419 1 S
 A090   1.939 1 P
 A090   3.319 1 S
 A091   1.939 1 P
 A091   3.339 1 S
 A148   2.079 1 P
 A148   3.659 1 S
 A092   1.939 1 P
 A092   3.419 1 S
 A147   2.089 1 P
 A147   3.659 1 S
 A146   2.099 1 P
 A146   3.669 1 S
 A142   2.089 1 P
 A142   3.649 1 S
 A144   2.079 1 P
 A144   3.669 1 S
 A143   3.619 1 S
 A145   2.099 1 P
 A145   3.649 1 S
 A136   3.619 1 S
 A136   2.059 1 P
 A141   3.679 1 S
 A141   2.119 1 P
 A137   3.569 1 S
 A137   2.079 1 P
 A140   3.579 1 S
 A140   2.049 1 P
 A135   3.639 1 S
 A135   2.059 1 P
 A139   3.709 1 S
 A139   2.059 1 P
 A093   3.689 1 S
 A093   1.999 1 P
 A134   3.529 1 S
 A134   2.069 1 P
 A133   3.829 1 S
 A133   2.059 1 P
 A094   3.499 1 S
 A094   2.019 1 P
 A132   3.619 1 S
 A132   2.039 1 P
 A095   3.549 1 S
 A095   2.039 1 P
 A097   3.609 1 S
 A097   2.059 1 P
 A114   3.499 1 S
 A098   2.059 1 P
 A098   3.699 1 S
 A099   2.049 1 P
 A099   3.629 1 S
 A113   1.999 1 P
 A113   3.609 1 S
 A100   2.039 1 P
 A100   3.579 1 S
 A110   1.929 1 P
  AX5   1.959 1 P
  AX5   3.619 1 S
 A109   3.689 1 S
 A109   1.949 1 P
  AX6   1.979 1 P
  AX6   3.639 1 S
 A108   4.029 1 S
 A108   2.019 1 P
 A107   3.779 1 S
 A107   2.019 1 P
 A106   3.769 1 S
 A106   2.039 1 P
 2D22   2.939 1 P
# 2023 04 19 01 29 13.820 85.5835  27.6866  13.719  6.41 0 0 0      2
 2D18   2.370 1 P
 2D18   4.090 1 S
 A106   2.540 1 P
 A106   4.510 1 S
 A100   2.530 1 P
 A100   4.470 1 S
 A099   2.520 1 P
 A099   4.620 1 S
 A097   2.450 1 P
 A098   2.530 1 P
 A098   4.620 1 S
 A101   2.510 1 P
 A101   4.430 1 S
 A102   2.530 1 P
 A102   4.490 1 S
 A096   4.590 1 S
 A096   2.520 1 P
 A095   4.540 1 S
 A095   2.520 1 P
 A094   4.450 1 S
 A094   2.480 1 P
  AX5   2.510 1 P
  AX5   4.460 1 S
 A093   4.790 1 S
 A093   2.480 1 P
 A089   2.450 1 P
 A090   4.300 1 S
 A090   2.410 1 P
 A088   2.370 1 P
 A087   2.400 1 P
 A086   2.400 1 P
 A086   4.320 1 S
 A085   2.400 1 P
 A085   4.380 1 S
 A084   2.380 1 P
 A084   4.310 1 S
 A132   2.660 1 P
 A132   5.100 1 S
 A083   2.400 1 P
 A083   4.450 1 S
 A082   2.430 1 P
 A082   4.330 1 S
 A133   2.720 1 P
 A134   2.720 1 P
 A135   2.720 1 P
 A081   4.480 1 S
 A081   2.410 1 P
 A139   2.750 1 P
 A080   2.400 1 P
 A080   4.330 1 S
 A140   2.750 1 P
 A079   4.370 1 S
 A079   2.390 1 P
 A141   2.770 1 P
 A141   5.010 1 S
 A073   2.360 1 P
 A142   2.770 1 P
 A142   4.960 1 S
 A078   4.370 1 S
 A078   2.400 1 P
 A144   2.790 1 P
 A144   5.180 1 S
 A074   4.380 1 S
 A074   2.410 1 P
 A145   2.800 1 P
 A145   4.980 1 S
 A077   4.430 1 S
 A146   2.810 1 P
 A075   4.420 1 S
 A075   2.400 1 P
 A076   2.410 1 P
 A148   2.810 1 P
 A149   2.830 1 P
 A069   4.250 1 S
 A069   2.350 1 P
 A151   2.810 1 P
 A153   2.810 1 P
 A150   2.790 1 P
 A154   2.840 1 P
 A154   4.970 1 S
 A152   5.420 1 S
 A152   2.830 1 P
 A155   2.840 1 P
 A155   5.020 1 S
 A068   2.360 1 P
 A068   4.270 1 S
 A156   2.850 1 P
 A156   5.020 1 S
 A157   2.880 1 P
 A157   5.030 1 S
 A158   2.870 1 P
 A067   4.230 1 S
 A067   2.360 1 P
 A159   2.890 1 P
 A159   5.180 1 S
 A066   4.220 1 S
 A066   2.350 1 P
 A065   4.230 1 S
 A065   2.370 1 P
 A160   2.910 1 P
 A160   5.140 1 S
 A064   4.220 1 S
 A161   2.920 1 P
 A162   2.900 1 P
 A162   4.960 1 S
 A063   4.210 1 S
 A063   2.350 1 P
 A163   2.920 1 P
 A164   2.930 1 P
 A062   4.190 1 S
 A062   2.330 1 P
 A061   4.160 1 S
 A061   2.310 1 P
 A165   2.950 1 P
 A060   2.310 1 P
 A060   4.170 1 S
 A059   2.320 1 P
 A059   4.160 1 S
 A166   2.950 1 P
 A166   5.200 1 S
 A167   2.940 1 P
 A167   5.240 1 S
 A168   2.960 1 P
 A169   2.950 1 P
  AX1   2.960 1 P
 A170   2.970 1 P
 A007   3.180 1 P
  AX3   2.930 1 P
 A171   2.970 1 P
 A173   3.000 1 P
 A172   2.970 1 P
  AX4   2.930 1 P
 A175   2.970 1 P
 A045   2.130 1 P
  C09   2.910 1 P
  C09   5.010 1 S
  C10   2.930 1 P
  C12   2.920 1 P
  C12   5.180 1 S
  C14   2.910 1 P
  C14   5.190 1 S
  C15   2.880 1 P
  C15   5.040 1 S
  C16   2.920 1 P
  C16   5.380 1 S
  C17   2.890 1 P
  C17   5.350 1 S
  C18   2.910 1 P
  C18   5.100 1 S
  C19   2.930 1 P
  C20   2.890 1 P
  C20   5.260 1 S
  C22   2.880 1 P
  C22   5.010 1 S
  B10   2.730 1 P
  B10   3.890 1 S
  C41   2.840 1 P
  C41   4.890 1 S
  C42   2.850 1 P
  C42   4.950 1 S
  C43   2.880 1 P
  C43   4.990 1 S
  C44   2.880 1 P
  C44   5.290 1 S
  C45   2.880 1 P
  C45   5.280 1 S
 2D09   2.520 1 P
  C47   2.840 1 P
  C47   4.960 1 S
  C48   2.860 1 P
  C48   5.100 1 S
  C49   2.870 1 P
  C49   5.100 1 S
  C50   2.880 1 P
  C50   5.300 1 S
  C51   2.850 1 P
  C51   5.050 1 S
  C52   2.840 1 P
  C53   2.840 1 P
  C56   2.730 1 P
  C56   5.020 1 S
  C57   2.830 1 P
  C57   4.900 1 S
  C58   2.810 1 P
  C58   4.980 1 S
  C63   2.810 1 P
  C63   4.850 1 S
  C65   2.810 1 P
  C65   4.930 1 S
  C69   2.770 1 P
  C69   4.780 1 S
 2D06   2.210 1 P
  C71   2.770 1 P
  C71   4.750 1 S
  B33   2.240 1 P
  B33   3.720 1 S
 2D07   3.900 1 S
 2D07   2.210 1 P
  B34   3.730 1 S
  B38   2.160 1 P
  B38   3.680 1 S
 2D08   2.490 1 P
 2D03   2.830 1 P
 2D03   4.340 1 S
# 2023 04 19 01 35 16.018 85.5580  27.6207  12.765  6.63 0 0 0      3
 2D19   2.922 1 P
 2D19   4.972 1 S
 2D22   5.282 1 S
 A100   2.472 1 P
 A100   4.362 1 S
 A099   2.482 1 P
 A099   4.392 1 S
 A097   2.492 1 P
 A097   4.412 1 S
 A098   2.492 1 P
 A098   4.372 1 S
 A107   2.492 1 P
 A101   4.312 1 S
 A101   2.452 1 P
 A102   2.502 1 P
 A096   2.492 1 P
 A096   4.382 1 S
 A108   2.522 1 P
 A108   4.552 1 S
 A095   2.492 1 P
 A095   4.362 1 S
  AX6   2.452 1 P
  AX6   4.342 1 S
 A094   2.452 1 P
 A094   4.332 1 S
 A110   4.582 1 S
 A093   4.342 1 S
 A093   2.452 1 P
 A114   2.442 1 P
 A114   4.332 1 S
 A092   4.242 1 S
 A092   2.412 1 P
 A091   2.372 1 P
 A089   2.402 1 P
 A089   4.262 1 S
 A090   2.392 1 P
 A090   4.202 1 S
 A087   2.392 1 P
 A087   4.282 1 S
 A086   2.392 1 P
 A086   4.232 1 S
 A085   2.352 1 P
 A132   2.572 1 P
 A132   4.542 1 S
 A084   4.212 1 S
 A084   2.362 1 P
 A083   4.262 1 S
 A083   2.372 1 P
 A133   2.602 1 P
 A133   4.622 1 S
 A082   4.502 1 S
 A082   2.392 1 P
 A134   2.612 1 P
 A134   4.622 1 S
 A135   2.612 1 P
 A135   4.662 1 S
 A136   2.602 1 P
 A136   4.632 1 S
 A137   2.622 1 P
 A138   2.642 1 P
 A138   4.742 1 S
 A081   2.382 1 P
 A081   4.342 1 S
 A139   2.632 1 P
 A139   4.582 1 S
 A141   2.682 1 P
 A141   4.312 1 S
 A080   2.362 1 P
 A080   4.342 1 S
 A142   2.652 1 P
 A079   4.302 1 S
 A079   2.372 1 P
 A143   2.652 1 P
 A143   4.672 1 S
 A144   2.682 1 P
 A144   4.702 1 S
 A073   4.202 1 S
 A145   2.682 1 P
 A145   4.662 1 S
 A078   4.302 1 S
 A078   2.372 1 P
 A146   2.682 1 P
 A146   4.702 1 S
 A074   4.292 1 S
 A074   2.402 1 P
 A077   4.342 1 S
 A077   2.392 1 P
 A147   2.692 1 P
 A075   2.402 1 P
 A075   4.372 1 S
 A148   2.672 1 P
 A148   4.782 1 S
 A076   2.392 1 P
 A076   4.362 1 S
 A070   2.332 1 P
 A149   2.692 1 P
 A149   5.052 1 S
 A151   2.672 1 P
 A151   4.792 1 S
 A153   2.662 1 P
