    1   2023 04 09 01:10:16.845     4216.845   0.2135  85.5551  27.7569  13.15 1.430  0.176  12  11  23 10325.42
   4W     2D04     P    4220.3495    3.5045  0.00e+00-0.0618   0.9511 343.6029
   4W     2D04     S    4222.7790    5.9340  0.00e+00-0.0094   0.8510 343.6029
   4W     2D05     P    4220.5625    3.7175  0.00e+00-0.0590   0.9393 354.7926
   4W     2D05     S    4222.8846    6.0396  0.00e+00-0.2542   0.9335 354.7926
   4W     2D14     P    4221.0952    4.2502  0.00e+00 0.0768   0.9381 335.6082
   4W     2D14     S    4223.8038    6.9588  0.00e+00 0.0038   0.7860 335.6082
   4W     A004     P    4219.8636    3.0186  0.00e+00-0.0500   0.9517  10.1853
   4W     A004     S    4221.7894    4.9444  0.00e+00-0.1696   0.7700  10.1853
   4W     A009     P    4219.9767    3.1317  0.00e+00 0.0002   0.9224   8.4172
   4W     A009     S    4222.0249    5.1799  0.00e+00-0.0389   0.8710   8.4172
   4W     A014     P    4220.0119    3.1669  0.00e+00-0.0222   0.9190   6.4368
   4W     A014     S    4222.1782    5.3332  0.00e+00 0.0183   0.8640   6.4368
   4W     A019     P    4220.1495    3.3045  0.00e+00 0.0582   0.8750   5.7285
   4W     A024     P    4220.1502    3.3052  0.00e+00-0.0031   0.9229   5.7999
   4W     A024     S    4222.2593    5.4143  0.00e+00-0.0993   0.9257   5.7999
   4W     A029     S    4222.7425    5.8975  0.00e+00 0.2848   0.9366   6.0022
   4W     A034     P    4220.2653    3.4203  0.00e+00-0.0056   0.8730   6.4954
   4W     A039     P    4220.3205    3.4755  0.00e+00-0.0217   0.9430   6.3880
   4W     A039     S    4222.5984    5.7534  0.00e+00-0.0750   0.7630   6.3880
   4W     A044     P    4220.4191    3.5741  0.00e+00 0.0051   0.9370   5.8380
   4W     A044     S    4222.8282    5.9832  0.00e+00 0.0353   0.9256   5.8380
   4W     A059     P    4220.6438    3.7988  0.00e+00 0.0124   0.9448   7.5804
   4W     A059     S    4222.2414    5.3964  0.00e+00-0.9138   0.1000   7.5804
