2023 04 27 04 34 44.902 85.7011  27.8639   0.033  7.07   27 350.820  0.331      1
2023 04 27 07 18 36.252 85.6187  27.9400   0.500  6.96   27 353.231  0.075      2
2023 04 27 10 48 46.392 85.4417  27.9029   1.500  6.08   81 347.888  0.297      3
2023 04 27 12 02 55.714 85.7029  28.1506   1.500  5.74   66 205.988  0.193      4
2023 04 27 13 28 58.444 85.5425  28.0487   2.500  6.44   99 207.168  0.340      5
2023 04 27 14 53 48.739 85.5785  27.9187  11.500  6.29  123 172.475  0.455      6
2023 04 27 15 00 44.879 85.5477  27.7163  16.500  6.85  237 215.618  0.402      7
2023 04 27 17 34 30.330 85.4286  28.0704   0.377  5.88   66 212.686  0.211      8
2023 04 27 18 01 59.937 85.6185  28.0252  12.500  6.18  171 197.547  0.301      9
2023 04 27 18 14 55.140 85.4452  27.9915   0.500  6.81  345 179.804  0.342     10
2023 04 27 19 46 56.430 85.4961  28.1470   1.500  7.27  321 189.080  0.357     11
2023 04 27 20 07 37.556 85.4561  28.0017   1.500  6.33  165 215.898  0.375     12
2023 04 27 20 33 18.815 85.3831  27.7724   2.500  5.93   87 339.783  0.450     13
2023 04 27 20 34 14.367 85.4708  27.9588   0.009  5.59   51 176.999  0.219     14
